Date,Time,Value,Timestamp,Note
11/07/2025,09:51:38,1,1.75222E+12,
11/07/2025,09:52:34,-1,1.75222E+12,
11/07/2025,09:53:28,1,1.75222E+12,
11/07/2025,09:54:24,-1,1.75222E+12,
11/07/2025,09:55:18,1,1.75222E+12,
11/07/2025,09:56:14,-1,1.75222E+12,
11/07/2025,09:57:09,1,1.75222E+12,
